order_item_id,order_id,product_id,quantity,price
1,1,5,1,6000
2,1,17,2,850
3,2,15,2,380
4,2,6,2,1200
5,3,16,1,250
6,3,2,2,32000
7,4,9,2,1400
8,4,23,2,2200
9,5,14,2,450
10,5,18,1,1900
11,6,16,2,250
12,6,11,2,4800
13,7,20,1,750
14,8,14,2,450
15,8,22,2,300
16,9,2,2,32000
17,9,6,2,1200
18,10,7,1,1800
19,10,4,2,2500
20,11,19,2,600
21,12,13,2,650
22,12,11,2,4800
23,13,16,2,250
24,13,5,2,6000
25,14,4,2,2500
26,14,20,2,750
27,14,15,2,380
28,15,12,2,350
29,15,14,1,450
30,15,21,2,1500
31,16,3,1,38000
32,17,16,2,250
33,18,3,2,38000
34,19,5,1,6000
35,19,14,2,450
36,19,3,2,38000
37,20,12,2,350
38,20,22,1,300
39,20,7,1,1800
40,21,20,2,750
41,21,19,1,600
42,22,12,2,350
43,22,16,1,250
44,23,14,1,450
45,23,9,2,1400
46,23,23,2,2200
47,24,11,2,4800
48,25,10,2,3200
49,26,20,2,750
50,26,12,1,350
51,27,11,2,4800
52,27,2,2,32000
53,27,5,2,6000
54,28,10,1,3200
55,29,1,2,45000
56,30,13,1,650
57,30,22,1,300
58,31,8,1,550
59,32,5,1,6000
60,32,9,2,1400
61,33,17,1,850
62,33,1,2,45000
63,33,21,1,1500
64,34,13,1,650
65,34,19,2,600
66,35,2,1,32000
67,36,1,2,45000
68,36,15,1,380
69,36,22,1,300
70,37,22,2,300
71,37,2,2,32000
72,37,14,1,450
73,38,16,1,250
74,38,13,1,650
75,39,11,1,4800
76,39,10,1,3200
77,40,13,1,650
78,40,3,1,38000
79,40,4,2,2500
80,41,15,1,380
81,41,10,2,3200
82,42,22,2,300
83,42,17,1,850
84,43,10,2,3200
85,44,11,1,4800
86,45,15,2,380
87,46,8,1,550
88,47,11,1,4800
89,48,1,2,45000
90,48,17,1,850
91,48,6,2,1200
92,49,11,1,4800
93,49,14,2,450
94,50,7,2,1800
95,50,2,2,32000
96,50,5,2,6000
97,51,18,2,1900
98,51,23,1,2200
99,52,15,2,380
100,52,23,1,2200
101,53,6,1,1200
102,53,12,1,350
103,53,3,2,38000
104,54,15,1,380
105,54,22,1,300
106,54,12,2,350
107,55,21,2,1500
108,55,9,1,1400
109,56,20,1,750
110,57,17,2,850
111,58,17,1,850
112,59,13,1,650
113,59,19,1,600
114,59,6,2,1200
115,60,8,1,550
116,61,15,1,380
117,62,7,2,1800
118,62,12,1,350
119,63,9,1,1400
120,63,19,2,600
121,64,10,1,3200
122,64,23,2,2200
123,64,12,2,350
124,65,17,2,850
125,65,6,2,1200
126,66,7,2,1800
127,66,15,1,380
128,66,16,1,250
129,67,3,2,38000
130,67,20,1,750
131,68,12,2,350
132,68,7,1,1800
133,68,5,1,6000
134,69,20,2,750
135,69,8,1,550
136,70,3,1,38000
137,70,10,2,3200
138,70,7,2,1800
139,71,3,2,38000
140,71,6,2,1200
141,72,16,2,250
142,73,14,1,450
143,74,19,1,600
144,74,4,2,2500
145,74,20,2,750
146,75,15,1,380
147,76,6,1,1200
148,77,22,2,300
149,78,13,2,650
150,79,5,2,6000
151,79,19,1,600
152,80,19,2,600
153,81,20,1,750
154,81,21,1,1500
155,82,2,2,32000
156,82,5,1,6000
157,83,18,2,1900
158,84,5,1,6000
159,84,15,1,380
160,85,20,1,750
161,85,14,1,450
162,86,6,2,1200
163,86,5,2,6000
164,86,12,1,350
165,87,1,2,45000
166,88,22,1,300
167,89,17,1,850
168,89,21,1,1500
169,89,23,1,2200
170,90,23,2,2200
171,91,14,2,450
172,91,3,1,38000
173,92,7,1,1800
174,92,18,1,1900
175,93,6,1,1200
176,94,21,2,1500
177,94,8,2,550
178,95,15,2,380
179,95,1,2,45000
180,96,13,1,650
181,96,19,2,600
182,97,14,1,450
183,98,3,1,38000
184,98,9,1,1400
185,98,11,1,4800
186,99,23,2,2200
187,100,20,1,750
188,100,7,2,1800
189,100,22,1,300
190,101,8,1,550
191,101,3,1,38000
192,101,21,1,1500
193,102,8,1,550
194,103,15,2,380
195,103,9,1,1400
196,104,19,1,600
197,105,4,1,2500
198,105,5,1,6000
199,105,11,1,4800
200,106,12,2,350
201,107,21,1,1500
202,108,2,1,32000
203,108,1,2,45000
204,109,8,1,550
205,109,15,2,380
206,110,6,1,1200
207,110,7,1,1800
208,111,6,2,1200
209,111,15,1,380
210,112,12,1,350
211,113,4,2,2500
212,113,8,1,550
213,113,23,2,2200
214,114,7,2,1800
215,114,12,1,350
216,114,8,2,550
217,115,11,1,4800
218,116,20,1,750
219,117,11,2,4800
220,117,13,1,650
221,118,3,1,38000
222,118,22,2,300
223,118,4,2,2500
224,119,12,1,350
225,119,11,2,4800
226,119,22,1,300
227,120,1,1,45000
228,120,3,1,38000
229,121,23,2,2200
230,121,8,1,550
231,122,13,2,650
232,122,2,1,32000
233,122,17,1,850
234,123,15,1,380
235,124,7,2,1800
236,124,11,2,4800
237,125,9,2,1400
238,126,13,2,650
239,127,20,1,750
240,127,15,1,380
241,127,2,1,32000
242,128,17,2,850
243,128,7,2,1800
244,128,10,1,3200
245,129,10,2,3200
246,129,4,2,2500
247,129,12,2,350
248,130,12,2,350
249,131,10,2,3200
250,131,1,2,45000
251,132,16,1,250
252,132,18,2,1900
253,132,14,2,450
254,133,15,1,380
255,134,14,1,450
256,134,12,2,350
257,135,15,1,380
258,136,11,2,4800
259,137,14,2,450
260,137,7,1,1800
261,138,11,1,4800
262,138,13,1,650
263,138,9,1,1400
264,139,20,2,750
265,140,13,2,650
266,141,7,2,1800
267,141,3,1,38000
268,141,14,2,450
269,142,5,2,6000
270,142,12,1,350
271,142,8,2,550
272,143,19,2,600
273,144,2,2,32000
274,145,18,1,1900
275,146,5,1,6000
276,147,16,1,250
277,148,19,2,600
278,148,10,2,3200
279,148,15,2,380
280,149,13,2,650
281,149,20,1,750
282,149,19,1,600
283,150,19,2,600
284,150,11,2,4800
285,150,18,2,1900
286,151,4,2,2500
287,151,18,1,1900
288,151,19,2,600
289,152,7,1,1800
290,152,19,2,600
291,153,16,2,250
292,154,12,1,350
293,154,10,2,3200
294,155,23,1,2200
295,155,20,1,750
296,155,1,2,45000
297,156,8,2,550
298,157,19,1,600
299,157,9,1,1400
300,158,9,2,1400
301,159,21,1,1500
302,160,22,1,300
303,160,5,2,6000
304,161,22,2,300
305,161,2,1,32000
306,162,19,1,600
307,162,1,1,45000
308,162,4,2,2500
309,163,10,1,3200
310,163,16,2,250
311,164,9,1,1400
312,164,10,2,3200
313,165,8,1,550
314,165,11,1,4800
315,165,10,2,3200
316,166,23,1,2200
317,166,5,2,6000
318,166,17,1,850
319,167,22,2,300
320,167,7,1,1800
321,168,8,2,550
322,168,19,2,600
323,169,8,1,550
324,170,1,1,45000
325,171,8,1,550
326,172,11,2,4800
327,172,15,1,380
328,172,7,1,1800
329,173,2,1,32000
330,174,22,1,300
331,174,21,2,1500
332,175,11,1,4800
333,176,3,1,38000
334,177,4,1,2500
335,177,2,1,32000
336,178,4,1,2500
337,178,20,2,750
338,179,8,2,550
339,180,12,1,350
340,181,21,1,1500
341,181,17,2,850
342,182,20,1,750
343,182,18,1,1900
344,183,22,2,300
345,184,4,2,2500
346,184,21,1,1500
347,184,2,1,32000
348,185,17,1,850
349,185,3,2,38000
350,186,14,1,450
351,187,10,2,3200
352,187,18,1,1900
353,188,12,2,350
354,189,3,2,38000
355,189,12,2,350
356,189,11,2,4800
357,190,10,1,3200
358,190,15,2,380
359,190,6,2,1200
360,191,19,2,600
361,191,5,2,6000
362,191,22,2,300
363,192,21,1,1500
364,192,11,2,4800
365,193,9,2,1400
366,193,5,1,6000
367,193,16,1,250
368,194,21,2,1500
369,194,23,1,2200
370,195,8,2,550
371,195,18,1,1900
372,195,15,1,380
373,196,3,2,38000
374,196,19,2,600
375,197,7,2,1800
376,197,19,1,600
377,198,14,2,450
378,198,8,2,550
379,198,5,2,6000
380,199,8,1,550
381,199,22,2,300
382,200,4,1,2500
383,200,3,2,38000
384,201,11,1,4800
385,202,11,2,4800
386,203,10,1,3200
387,203,12,1,350
388,203,7,1,1800
389,204,2,1,32000
390,205,14,2,450
391,205,10,1,3200
392,205,6,2,1200
393,206,23,2,2200
394,206,13,1,650
395,206,5,1,6000
396,207,3,2,38000
397,207,16,2,250
398,208,6,1,1200
399,208,19,2,600
400,208,7,2,1800
401,209,9,1,1400
402,209,19,2,600
403,210,16,1,250
404,210,3,2,38000
405,210,1,1,45000
406,211,4,1,2500
407,211,22,2,300
408,212,4,1,2500
409,212,19,2,600
410,212,18,1,1900
411,213,17,1,850
412,213,9,1,1400
413,214,4,1,2500
414,214,23,1,2200
415,215,3,1,38000
416,216,10,2,3200
417,217,15,2,380
418,218,20,2,750
419,218,14,1,450
420,218,3,1,38000
421,219,22,2,300
422,219,14,1,450
423,220,10,2,3200
424,220,15,2,380
425,221,9,1,1400
426,221,11,2,4800
427,222,17,1,850
428,223,3,1,38000
429,224,5,2,6000
430,225,16,1,250
431,226,16,1,250
432,226,9,1,1400
433,226,23,1,2200
434,227,7,1,1800
435,227,6,2,1200
436,227,16,2,250
437,228,12,1,350
438,228,3,2,38000
439,229,5,2,6000
440,229,4,2,2500
441,229,18,1,1900
442,230,3,2,38000
443,231,5,1,6000
444,231,15,1,380
445,231,6,1,1200
446,232,1,1,45000
447,233,16,1,250
448,233,20,2,750
449,233,19,2,600
450,234,18,2,1900
451,234,23,1,2200
452,234,1,2,45000
453,235,20,2,750
454,236,8,2,550
455,236,22,2,300
456,237,2,2,32000
457,237,12,1,350
458,238,11,2,4800
459,238,7,1,1800
460,238,17,2,850
461,239,6,1,1200
462,239,3,1,38000
463,239,8,2,550
464,240,7,1,1800
465,240,5,1,6000
466,240,8,2,550
467,241,10,1,3200
468,242,18,2,1900
469,242,19,1,600
470,243,23,2,2200
471,243,18,1,1900
472,243,5,1,6000
473,244,9,2,1400
474,244,23,2,2200
475,245,20,2,750
476,246,4,1,2500
477,246,18,1,1900
478,246,2,2,32000
479,247,9,2,1400
480,247,5,1,6000
481,248,19,1,600
482,248,9,1,1400
483,249,14,2,450
484,250,13,2,650
485,250,17,1,850
486,250,3,2,38000
487,251,19,2,600
488,252,4,2,2500
489,253,17,1,850
490,253,3,2,38000
491,254,7,2,1800
492,254,16,1,250
493,254,22,1,300
494,255,12,1,350
495,255,22,2,300
496,255,18,2,1900
497,256,3,2,38000
498,256,18,2,1900
499,256,7,2,1800
500,257,21,1,1500
501,258,7,1,1800
502,259,7,1,1800
503,259,19,1,600
504,260,18,1,1900
505,261,10,1,3200
506,262,11,1,4800
507,262,3,1,38000
508,262,1,2,45000
509,263,13,1,650
510,263,9,2,1400
511,263,23,1,2200
512,264,3,2,38000
513,264,19,1,600
514,265,1,2,45000
515,266,14,2,450
516,266,15,1,380
517,267,4,1,2500
518,267,14,1,450
519,268,2,2,32000
520,269,19,1,600
521,269,13,1,650
522,270,16,1,250
523,270,2,2,32000
524,270,23,2,2200
525,271,12,2,350
526,271,8,1,550
527,271,6,1,1200
528,272,14,2,450
529,272,3,2,38000
530,272,8,1,550
531,273,16,1,250
532,273,19,1,600
533,274,19,1,600
534,274,22,1,300
535,274,17,1,850
536,275,4,2,2500
537,275,2,2,32000
538,276,11,2,4800
539,277,16,2,250
540,277,13,1,650
541,277,4,2,2500
542,278,13,2,650
543,279,3,2,38000
544,280,9,1,1400
545,280,3,2,38000
546,281,8,1,550
547,282,12,1,350
548,282,22,1,300
549,283,22,1,300
550,283,4,1,2500
551,283,5,2,6000
552,284,7,1,1800
553,284,21,1,1500
554,284,15,1,380
555,285,23,2,2200
556,286,23,2,2200
557,286,17,2,850
558,286,8,1,550
559,287,2,1,32000
560,287,14,1,450
561,287,6,2,1200
562,288,1,1,45000
563,288,15,1,380
564,289,7,2,1800
565,289,4,1,2500
566,290,21,1,1500
567,291,17,1,850
568,292,21,2,1500
569,293,23,1,2200
570,293,21,1,1500
571,293,15,1,380
572,294,3,1,38000
573,294,13,2,650
574,294,20,2,750
575,295,8,1,550
576,295,11,1,4800
577,296,1,1,45000
578,296,2,2,32000
579,296,19,1,600
580,297,8,2,550
581,298,4,2,2500
582,298,1,2,45000
583,298,17,1,850
584,299,6,1,1200
585,299,12,1,350
586,299,20,1,750
587,300,22,1,300
588,300,6,2,1200
589,300,16,1,250
